dropGroupId,stageId,triggerNode,rewardSlot1Type,rewardSlot1Id,rewardSlot1Min,rewardSlot1Max,rewardSlot2Type,rewardSlot2Id,rewardSlot2Min,rewardSlot2Max,rewardSlot2Chance,rewardSlot3Type,rewardSlot3Id,rewardSlot3Min,rewardSlot3Max,rewardSlot3Chance,writebackRule,notes
drop_zj_mid_01_elite_base,ZJ_MID_01,elite_base,currency_spirit_stone,spirit_stone,33,45,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_zj_mid_01_elite_1,ZJ_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,33,45,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_zj_mid_01_elite_2,ZJ_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,51,72,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_zj_mid_01_boss_clear,ZJ_MID_01,boss_clear,currency_spirit_stone,spirit_stone,105,150,item,break_dan_1,0,1,0.55,item,break_mat_1,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_zj_late_01_normal,ZJ_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,11,18,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_zj_late_01_elite_base,ZJ_LATE_01,elite_base,currency_spirit_stone,spirit_stone,37,51,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_zj_late_01_elite_1,ZJ_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,37,51,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_zj_late_01_elite_2,ZJ_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,57,81,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_zj_late_01_boss_clear,ZJ_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,119,170,item,break_dan_1,0,1,0.55,item,break_mat_1,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_jd_early_01_normal,JD_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,12,20,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_jd_early_01_elite_base,JD_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,40,55,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_jd_early_01_elite_1,JD_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,40,55,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_jd_early_01_elite_2,JD_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,62,88,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_jd_early_01_boss_clear,JD_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,129,185,item,break_dan_2,0,1,0.55,item,break_mat_2,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_jd_mid_01_normal,JD_MID_01,normal_clear,currency_spirit_stone,spirit_stone,14,22,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_jd_mid_01_elite_base,JD_MID_01,elite_base,currency_spirit_stone,spirit_stone,44,60,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_jd_mid_01_elite_1,JD_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,44,60,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_jd_mid_01_elite_2,JD_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,68,96,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_jd_mid_01_boss_clear,JD_MID_01,boss_clear,currency_spirit_stone,spirit_stone,140,200,item,break_dan_2,0,1,0.55,item,break_mat_2,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_jd_late_01_normal,JD_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,15,23,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_jd_late_01_elite_base,JD_LATE_01,elite_base,currency_spirit_stone,spirit_stone,47,64,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_jd_late_01_elite_1,JD_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,47,64,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_jd_late_01_elite_2,JD_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,73,103,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_jd_late_01_boss_clear,JD_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,150,215,item,break_dan_2,0,1,0.55,item,break_mat_2,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_yy_early_01_normal,YY_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,16,25,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_yy_early_01_elite_base,YY_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,51,70,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_yy_early_01_elite_1,YY_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,51,70,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_yy_early_01_elite_2,YY_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,79,112,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_yy_early_01_boss_clear,YY_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,164,235,item,break_dan_3,0,1,0.55,item,break_mat_3,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_yy_mid_01_normal,YY_MID_01,normal_clear,currency_spirit_stone,spirit_stone,17,27,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_yy_mid_01_elite_base,YY_MID_01,elite_base,currency_spirit_stone,spirit_stone,55,75,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_yy_mid_01_elite_1,YY_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,55,75,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_yy_mid_01_elite_2,YY_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,85,120,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_yy_mid_01_boss_clear,YY_MID_01,boss_clear,currency_spirit_stone,spirit_stone,175,250,item,break_dan_3,0,1,0.55,item,break_mat_3,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_yy_late_01_normal,YY_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,18,29,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_yy_late_01_elite_base,YY_LATE_01,elite_base,currency_spirit_stone,spirit_stone,58,79,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_yy_late_01_elite_1,YY_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,58,79,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_yy_late_01_elite_2,YY_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,90,127,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_yy_late_01_boss_clear,YY_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,185,265,item,break_dan_3,0,1,0.55,item,break_mat_3,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_hs_early_01_normal,HS_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,19,30,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_hs_early_01_elite_base,HS_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,61,84,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_hs_early_01_elite_1,HS_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,61,84,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_hs_early_01_elite_2,HS_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,95,134,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_hs_early_01_boss_clear,HS_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,196,280,item,break_dan_4,0,1,0.55,item,break_mat_4,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_hs_mid_01_normal,HS_MID_01,normal_clear,currency_spirit_stone,spirit_stone,21,33,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_hs_mid_01_elite_base,HS_MID_01,elite_base,currency_spirit_stone,spirit_stone,66,90,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_hs_mid_01_elite_1,HS_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,66,90,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_hs_mid_01_elite_2,HS_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,102,144,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_hs_mid_01_boss_clear,HS_MID_01,boss_clear,currency_spirit_stone,spirit_stone,210,300,item,break_dan_4,0,1,0.55,item,break_mat_4,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_hs_late_01_normal,HS_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,22,34,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_hs_late_01_elite_base,HS_LATE_01,elite_base,currency_spirit_stone,spirit_stone,69,94,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_hs_late_01_elite_1,HS_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,69,94,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_hs_late_01_elite_2,HS_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,107,151,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_hs_late_01_boss_clear,HS_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,220,315,item,break_dan_4,0,1,0.55,item,break_mat_4,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_lx_early_01_normal,LX_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,23,36,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_lx_early_01_elite_base,LX_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,72,99,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_lx_early_01_elite_1,LX_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,72,99,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_lx_early_01_elite_2,LX_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,112,158,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_lx_early_01_boss_clear,LX_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,231,330,item,break_dan_5,0,1,0.55,item,break_mat_5,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_lx_mid_01_normal,LX_MID_01,normal_clear,currency_spirit_stone,spirit_stone,24,37,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_lx_mid_01_elite_base,LX_MID_01,elite_base,currency_spirit_stone,spirit_stone,75,103,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_lx_mid_01_elite_1,LX_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,75,103,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_lx_mid_01_elite_2,LX_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,117,165,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_lx_mid_01_boss_clear,LX_MID_01,boss_clear,currency_spirit_stone,spirit_stone,241,345,item,break_dan_5,0,1,0.55,item,break_mat_5,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_lx_late_01_normal,LX_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,25,40,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_lx_late_01_elite_base,LX_LATE_01,elite_base,currency_spirit_stone,spirit_stone,80,109,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_lx_late_01_elite_1,LX_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,80,109,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_lx_late_01_elite_2,LX_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,124,175,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_lx_late_01_boss_clear,LX_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,255,365,item,break_dan_5,0,1,0.55,item,break_mat_5,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_ht_early_01_normal,HT_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,26,41,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_ht_early_01_elite_base,HT_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,83,114,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_ht_early_01_elite_1,HT_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,83,114,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_ht_early_01_elite_2,HT_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,129,182,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_ht_early_01_boss_clear,HT_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,266,380,item,break_dan_6,0,1,0.55,item,break_mat_6,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_ht_mid_01_normal,HT_MID_01,normal_clear,currency_spirit_stone,spirit_stone,27,43,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_ht_mid_01_elite_base,HT_MID_01,elite_base,currency_spirit_stone,spirit_stone,86,118,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_ht_mid_01_elite_1,HT_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,86,118,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_ht_mid_01_elite_2,HT_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,134,189,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_ht_mid_01_boss_clear,HT_MID_01,boss_clear,currency_spirit_stone,spirit_stone,276,395,item,break_dan_6,0,1,0.55,item,break_mat_6,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_ht_late_01_normal,HT_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,28,45,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_ht_late_01_elite_base,HT_LATE_01,elite_base,currency_spirit_stone,spirit_stone,90,123,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_ht_late_01_elite_1,HT_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,90,123,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_ht_late_01_elite_2,HT_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,139,196,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_ht_late_01_boss_clear,HT_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,287,410,item,break_dan_6,0,1,0.55,item,break_mat_6,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_dc_early_01_normal,DC_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,30,47,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_dc_early_01_elite_base,DC_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,94,129,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_dc_early_01_elite_1,DC_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,94,129,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_dc_early_01_elite_2,DC_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,146,206,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_dc_early_01_boss_clear,DC_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,301,430,item,break_dan_7,0,1,0.55,item,break_mat_7,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_dc_mid_01_normal,DC_MID_01,normal_clear,currency_spirit_stone,spirit_stone,31,48,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_dc_mid_01_elite_base,DC_MID_01,elite_base,currency_spirit_stone,spirit_stone,97,133,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
