level,displayLevel,大境界,阶段,重数,显示文案,备注
144,144级,炼虚,炼虚中期,4重,炼虚中期4重,人物等级外显与修仙等级映射真源
145,145级,炼虚,炼虚中期,5重,炼虚中期5重,人物等级外显与修仙等级映射真源
146,146级,炼虚,炼虚中期,6重,炼虚中期6重,人物等级外显与修仙等级映射真源
147,147级,炼虚,炼虚中期,7重,炼虚中期7重,人物等级外显与修仙等级映射真源
148,148级,炼虚,炼虚中期,8重,炼虚中期8重,人物等级外显与修仙等级映射真源
149,149级,炼虚,炼虚中期,9重,炼虚中期9重,人物等级外显与修仙等级映射真源
150,150级,炼虚,炼虚中期,10重,炼虚中期10重,人物等级外显与修仙等级映射真源
151,151级,炼虚,炼虚后期,1重,炼虚后期1重,人物等级外显与修仙等级映射真源
152,152级,炼虚,炼虚后期,2重,炼虚后期2重,人物等级外显与修仙等级映射真源
153,153级,炼虚,炼虚后期,3重,炼虚后期3重,人物等级外显与修仙等级映射真源
154,154级,炼虚,炼虚后期,4重,炼虚后期4重,人物等级外显与修仙等级映射真源
155,155级,炼虚,炼虚后期,5重,炼虚后期5重,人物等级外显与修仙等级映射真源
156,156级,炼虚,炼虚后期,6重,炼虚后期6重,人物等级外显与修仙等级映射真源
157,157级,炼虚,炼虚后期,7重,炼虚后期7重,人物等级外显与修仙等级映射真源
158,158级,炼虚,炼虚后期,8重,炼虚后期8重,人物等级外显与修仙等级映射真源
159,159级,炼虚,炼虚后期,9重,炼虚后期9重,人物等级外显与修仙等级映射真源
160,160级,炼虚,炼虚后期,10重,炼虚后期10重,人物等级外显与修仙等级映射真源
161,161级,合体,合体初期,1重,合体初期1重,人物等级外显与修仙等级映射真源
162,162级,合体,合体初期,2重,合体初期2重,人物等级外显与修仙等级映射真源
163,163级,合体,合体初期,3重,合体初期3重,人物等级外显与修仙等级映射真源
164,164级,合体,合体初期,4重,合体初期4重,人物等级外显与修仙等级映射真源
165,165级,合体,合体初期,5重,合体初期5重,人物等级外显与修仙等级映射真源
166,166级,合体,合体初期,6重,合体初期6重,人物等级外显与修仙等级映射真源
167,167级,合体,合体初期,7重,合体初期7重,人物等级外显与修仙等级映射真源
168,168级,合体,合体初期,8重,合体初期8重,人物等级外显与修仙等级映射真源
169,169级,合体,合体初期,9重,合体初期9重,人物等级外显与修仙等级映射真源
170,170级,合体,合体初期,10重,合体初期10重,人物等级外显与修仙等级映射真源
171,171级,合体,合体中期,1重,合体中期1重,人物等级外显与修仙等级映射真源
172,172级,合体,合体中期,2重,合体中期2重,人物等级外显与修仙等级映射真源
173,173级,合体,合体中期,3重,合体中期3重,人物等级外显与修仙等级映射真源
174,174级,合体,合体中期,4重,合体中期4重,人物等级外显与修仙等级映射真源
175,175级,合体,合体中期,5重,合体中期5重,人物等级外显与修仙等级映射真源
176,176级,合体,合体中期,6重,合体中期6重,人物等级外显与修仙等级映射真源
177,177级,合体,合体中期,7重,合体中期7重,人物等级外显与修仙等级映射真源
178,178级,合体,合体中期,8重,合体中期8重,人物等级外显与修仙等级映射真源
179,179级,合体,合体中期,9重,合体中期9重,人物等级外显与修仙等级映射真源
180,180级,合体,合体中期,10重,合体中期10重,人物等级外显与修仙等级映射真源
181,181级,合体,合体后期,1重,合体后期1重,人物等级外显与修仙等级映射真源
182,182级,合体,合体后期,2重,合体后期2重,人物等级外显与修仙等级映射真源
183,183级,合体,合体后期,3重,合体后期3重,人物等级外显与修仙等级映射真源
184,184级,合体,合体后期,4重,合体后期4重,人物等级外显与修仙等级映射真源
185,185级,合体,合体后期,5重,合体后期5重,人物等级外显与修仙等级映射真源
186,186级,合体,合体后期,6重,合体后期6重,人物等级外显与修仙等级映射真源
187,187级,合体,合体后期,7重,合体后期7重,人物等级外显与修仙等级映射真源
188,188级,合体,合体后期,8重,合体后期8重,人物等级外显与修仙等级映射真源
189,189级,合体,合体后期,9重,合体后期9重,人物等级外显与修仙等级映射真源
190,190级,合体,合体后期,10重,合体后期10重,人物等级外显与修仙等级映射真源
191,191级,大乘,大乘初期,1重,大乘初期1重,人物等级外显与修仙等级映射真源
192,192级,大乘,大乘初期,2重,大乘初期2重,人物等级外显与修仙等级映射真源
193,193级,大乘,大乘初期,3重,大乘初期3重,人物等级外显与修仙等级映射真源
194,194级,大乘,大乘初期,4重,大乘初期4重,人物等级外显与修仙等级映射真源
195,195级,大乘,大乘初期,5重,大乘初期5重,人物等级外显与修仙等级映射真源
196,196级,大乘,大乘初期,6重,大乘初期6重,人物等级外显与修仙等级映射真源
197,197级,大乘,大乘初期,7重,大乘初期7重,人物等级外显与修仙等级映射真源
198,198级,大乘,大乘初期,8重,大乘初期8重,人物等级外显与修仙等级映射真源
199,199级,大乘,大乘初期,9重,大乘初期9重,人物等级外显与修仙等级映射真源
200,200级,大乘,大乘初期,10重,大乘初期10重,人物等级外显与修仙等级映射真源
201,201级,大乘,大乘中期,1重,大乘中期1重,人物等级外显与修仙等级映射真源
202,202级,大乘,大乘中期,2重,大乘中期2重,人物等级外显与修仙等级映射真源
203,203级,大乘,大乘中期,3重,大乘中期3重,人物等级外显与修仙等级映射真源
204,204级,大乘,大乘中期,4重,大乘中期4重,人物等级外显与修仙等级映射真源
205,205级,大乘,大乘中期,5重,大乘中期5重,人物等级外显与修仙等级映射真源
206,206级,大乘,大乘中期,6重,大乘中期6重,人物等级外显与修仙等级映射真源
207,207级,大乘,大乘中期,7重,大乘中期7重,人物等级外显与修仙等级映射真源
208,208级,大乘,大乘中期,8重,大乘中期8重,人物等级外显与修仙等级映射真源
209,209级,大乘,大乘中期,9重,大乘中期9重,人物等级外显与修仙等级映射真源
210,210级,大乘,大乘中期,10重,大乘中期10重,人物等级外显与修仙等级映射真源
211,211级,大乘,大乘后期,1重,大乘后期1重,人物等级外显与修仙等级映射真源
212,212级,大乘,大乘后期,2重,大乘后期2重,人物等级外显与修仙等级映射真源
213,213级,大乘,大乘后期,3重,大乘后期3重,人物等级外显与修仙等级映射真源
214,214级,大乘,大乘后期,4重,大乘后期4重,人物等级外显与修仙等级映射真源
215,215级,大乘,大乘后期,5重,大乘后期5重,人物等级外显与修仙等级映射真源
216,216级,大乘,大乘后期,6重,大乘后期6重,人物等级外显与修仙等级映射真源
217,217级,大乘,大乘后期,7重,大乘后期7重,人物等级外显与修仙等级映射真源
218,218级,大乘,大乘后期,8重,大乘后期8重,人物等级外显与修仙等级映射真源
219,219级,大乘,大乘后期,9重,大乘后期9重,人物等级外显与修仙等级映射真源
220,220级,大乘,大乘后期,10重,大乘后期10重,人物等级外显与修仙等级映射真源
221,221级,渡劫,渡劫初期,1重,渡劫初期1重,人物等级外显与修仙等级映射真源
222,222级,渡劫,渡劫初期,2重,渡劫初期2重,人物等级外显与修仙等级映射真源
223,223级,渡劫,渡劫初期,3重,渡劫初期3重,人物等级外显与修仙等级映射真源
224,224级,渡劫,渡劫初期,4重,渡劫初期4重,人物等级外显与修仙等级映射真源
225,225级,渡劫,渡劫初期,5重,渡劫初期5重,人物等级外显与修仙等级映射真源
226,226级,渡劫,渡劫初期,6重,渡劫初期6重,人物等级外显与修仙等级映射真源
227,227级,渡劫,渡劫初期,7重,渡劫初期7重,人物等级外显与修仙等级映射真源
228,228级,渡劫,渡劫初期,8重,渡劫初期8重,人物等级外显与修仙等级映射真源
229,229级,渡劫,渡劫初期,9重,渡劫初期9重,人物等级外显与修仙等级映射真源
230,230级,渡劫,渡劫初期,10重,渡劫初期10重,人物等级外显与修仙等级映射真源
231,231级,渡劫,渡劫中期,1重,渡劫中期1重,人物等级外显与修仙等级映射真源
232,232级,渡劫,渡劫中期,2重,渡劫中期2重,人物等级外显与修仙等级映射真源
233,233级,渡劫,渡劫中期,3重,渡劫中期3重,人物等级外显与修仙等级映射真源
234,234级,渡劫,渡劫中期,4重,渡劫中期4重,人物等级外显与修仙等级映射真源
235,235级,渡劫,渡劫中期,5重,渡劫中期5重,人物等级外显与修仙等级映射真源
236,236级,渡劫,渡劫中期,6重,渡劫中期6重,人物等级外显与修仙等级映射真源
237,237级,渡劫,渡劫中期,7重,渡劫中期7重,人物等级外显与修仙等级映射真源
238,238级,渡劫,渡劫中期,8重,渡劫中期8重,人物等级外显与修仙等级映射真源
239,239级,渡劫,渡劫中期,9重,渡劫中期9重,人物等级外显与修仙等级映射真源
240,240级,渡劫,渡劫中期,10重,渡劫中期10重,人物等级外显与修仙等级映射真源
241,241级,渡劫,渡劫后期,1重,渡劫后期1重,人物等级外显与修仙等级映射真源
242,242级,渡劫,渡劫后期,2重,渡劫后期2重,人物等级外显与修仙等级映射真源
243,243级,渡劫,渡劫后期,3重,渡劫后期3重,人物等级外显与修仙等级映射真源
244,244级,渡劫,渡劫后期,4重,渡劫后期4重,人物等级外显与修仙等级映射真源
245,245级,渡劫,渡劫后期,5重,渡劫后期5重,人物等级外显与修仙等级映射真源
246,246级,渡劫,渡劫后期,6重,渡劫后期6重,人物等级外显与修仙等级映射真源
247,247级,渡劫,渡劫后期,7重,渡劫后期7重,人物等级外显与修仙等级映射真源
248,248级,渡劫,渡劫后期,8重,渡劫后期8重,人物等级外显与修仙等级映射真源
249,249级,渡劫,渡劫后期,9重,渡劫后期9重,人物等级外显与修仙等级映射真源
250,250级,渡劫,渡劫后期,10重,渡劫后期10重,人物等级外显与修仙等级映射真源
251,251级,真仙,真仙初期,1重,真仙初期1重,人物等级外显与修仙等级映射真源
252,252级,真仙,真仙初期,2重,真仙初期2重,人物等级外显与修仙等级映射真源
253,253级,真仙,真仙初期,3重,真仙初期3重,人物等级外显与修仙等级映射真源
254,254级,真仙,真仙初期,4重,真仙初期4重,人物等级外显与修仙等级映射真源
255,255级,真仙,真仙初期,5重,真仙初期5重,人物等级外显与修仙等级映射真源
256,256级,真仙,真仙初期,6重,真仙初期6重,人物等级外显与修仙等级映射真源
257,257级,真仙,真仙初期,7重,真仙初期7重,人物等级外显与修仙等级映射真源
258,258级,真仙,真仙初期,8重,真仙初期8重,人物等级外显与修仙等级映射真源
259,259级,真仙,真仙初期,9重,真仙初期9重,人物等级外显与修仙等级映射真源
260,260级,真仙,真仙初期,10重,真仙初期10重,人物等级外显与修仙等级映射真源
261,261级,真仙,真仙中期,1重,真仙中期1重,人物等级外显与修仙等级映射真源
262,262级,真仙,真仙中期,2重,真仙中期2重,人物等级外显与修仙等级映射真源
263,263级,真仙,真仙中期,3重,真仙中期3重,人物等级外显与修仙等级映射真源
264,264级,真仙,真仙中期,4重,真仙中期4重,人物等级外显与修仙等级映射真源
265,265级,真仙,真仙中期,5重,真仙中期5重,人物等级外显与修仙等级映射真源
266,266级,真仙,真仙中期,6重,真仙中期6重,人物等级外显与修仙等级映射真源
267,267级,真仙,真仙中期,7重,真仙中期7重,人物等级外显与修仙等级映射真源
268,268级,真仙,真仙中期,8重,真仙中期8重,人物等级外显与修仙等级映射真源
269,269级,真仙,真仙中期,9重,真仙中期9重,人物等级外显与修仙等级映射真源
270,270级,真仙,真仙中期,10重,真仙中期10重,人物等级外显与修仙等级映射真源
271,271级,真仙,真仙后期,1重,真仙后期1重,人物等级外显与修仙等级映射真源
272,272级,真仙,真仙后期,2重,真仙后期2重,人物等级外显与修仙等级映射真源
273,273级,真仙,真仙后期,3重,真仙后期3重,人物等级外显与修仙等级映射真源
274,274级,真仙,真仙后期,4重,真仙后期4重,人物等级外显与修仙等级映射真源
275,275级,真仙,真仙后期,5重,真仙后期5重,人物等级外显与修仙等级映射真源
276,276级,真仙,真仙后期,6重,真仙后期6重,人物等级外显与修仙等级映射真源
277,277级,真仙,真仙后期,7重,真仙后期7重,人物等级外显与修仙等级映射真源
278,278级,真仙,真仙后期,8重,真仙后期8重,人物等级外显与修仙等级映射真源
279,279级,真仙,真仙后期,9重,真仙后期9重,人物等级外显与修仙等级映射真源
280,280级,真仙,真仙后期,10重,真仙后期10重,人物等级外显与修仙等级映射真源
281,281级,金仙,金仙初期,1重,金仙初期1重,人物等级外显与修仙等级映射真源
282,282级,金仙,金仙初期,2重,金仙初期2重,人物等级外显与修仙等级映射真源
283,283级,金仙,金仙初期,3重,金仙初期3重,人物等级外显与修仙等级映射真源
284,284级,金仙,金仙初期,4重,金仙初期4重,人物等级外显与修仙等级映射真源
285,285级,金仙,金仙初期,5重,金仙初期5重,人物等级外显与修仙等级映射真源
286,286级,金仙,金仙初期,6重,金仙初期6重,人物等级外显与修仙等级映射真源
287,287级,金仙,金仙初期,7重,金仙初期7重,人物等级外显与修仙等级映射真源
288,288级,金仙,金仙初期,8重,金仙初期8重,人物等级外显与修仙等级映射真源
289,289级,金仙,金仙初期,9重,金仙初期9重,人物等级外显与修仙等级映射真源
290,290级,金仙,金仙初期,10重,金仙初期10重,人物等级外显与修仙等级映射真源
291,291级,金仙,金仙中期,1重,金仙中期1重,人物等级外显与修仙等级映射真源
292,292级,金仙,金仙中期,2重,金仙中期2重,人物等级外显与修仙等级映射真源
293,293级,金仙,金仙中期,3重,金仙中期3重,人物等级外显与修仙等级映射真源
294,294级,金仙,金仙中期,4重,金仙中期4重,人物等级外显与修仙等级映射真源
295,295级,金仙,金仙中期,5重,金仙中期5重,人物等级外显与修仙等级映射真源
296,296级,金仙,金仙中期,6重,金仙中期6重,人物等级外显与修仙等级映射真源
297,297级,金仙,金仙中期,7重,金仙中期7重,人物等级外显与修仙等级映射真源
298,298级,金仙,金仙中期,8重,金仙中期8重,人物等级外显与修仙等级映射真源
299,299级,金仙,金仙中期,9重,金仙中期9重,人物等级外显与修仙等级映射真源
300,300级,金仙,金仙中期,10重,金仙中期10重,人物等级外显与修仙等级映射真源
301,301级,金仙,金仙后期,1重,金仙后期1重,人物等级外显与修仙等级映射真源
302,302级,金仙,金仙后期,2重,金仙后期2重,人物等级外显与修仙等级映射真源
303,303级,金仙,金仙后期,3重,金仙后期3重,人物等级外显与修仙等级映射真源
304,304级,金仙,金仙后期,4重,金仙后期4重,人物等级外显与修仙等级映射真源
305,305级,金仙,金仙后期,5重,金仙后期5重,人物等级外显与修仙等级映射真源
306,306级,金仙,金仙后期,6重,金仙后期6重,人物等级外显与修仙等级映射真源
307,307级,金仙,金仙后期,7重,金仙后期7重,人物等级外显与修仙等级映射真源
308,308级,金仙,金仙后期,8重,金仙后期8重,人物等级外显与修仙等级映射真源
309,309级,金仙,金仙后期,9重,金仙后期9重,人物等级外显与修仙等级映射真源
310,310级,金仙,金仙后期,10重,金仙后期10重,人物等级外显与修仙等级映射真源
311,311级,太乙,太乙初期,1重,太乙初期1重,人物等级外显与修仙等级映射真源
312,312级,太乙,太乙初期,2重,太乙初期2重,人物等级外显与修仙等级映射真源
313,313级,太乙,太乙初期,3重,太乙初期3重,人物等级外显与修仙等级映射真源
314,314级,太乙,太乙初期,4重,太乙初期4重,人物等级外显与修仙等级映射真源
315,315级,太乙,太乙初期,5重,太乙初期5重,人物等级外显与修仙等级映射真源
316,316级,太乙,太乙初期,6重,太乙初期6重,人物等级外显与修仙等级映射真源
317,317级,太乙,太乙初期,7重,太乙初期7重,人物等级外显与修仙等级映射真源
318,318级,太乙,太乙初期,8重,太乙初期8重,人物等级外显与修仙等级映射真源
319,319级,太乙,太乙初期,9重,太乙初期9重,人物等级外显与修仙等级映射真源
320,320级,太乙,太乙初期,10重,太乙初期10重,人物等级外显与修仙等级映射真源
321,321级,太乙,太乙中期,1重,太乙中期1重,人物等级外显与修仙等级映射真源
322,322级,太乙,太乙中期,2重,太乙中期2重,人物等级外显与修仙等级映射真源
323,323级,太乙,太乙中期,3重,太乙中期3重,人物等级外显与修仙等级映射真源
324,324级,太乙,太乙中期,4重,太乙中期4重,人物等级外显与修仙等级映射真源
325,325级,太乙,太乙中期,5重,太乙中期5重,人物等级外显与修仙等级映射真源
