大境界,阶段,敌人类型,目标战斗秒数,目标玩家损血比例,建议敌人气血,建议敌人基础伤害,建议敌人行动CD,建议敌人隐藏防御,建议敌人煞气
金仙,初期,小Boss,6.4,0.3,9296,195,1.29,151,18
金仙,初期,大Boss,10.2,0.52,14816,194,1.18,191,36
金仙,中期,普通怪,3.2,0.12,5880,217,1.39,141,0
金仙,中期,小Boss,6.4,0.3,11759,248,1.27,193,18
金仙,中期,大Boss,10.2,0.52,18742,247,1.17,244,38
金仙,后期,普通怪,3.2,0.12,7295,274,1.37,177,0
金仙,后期,小Boss,6.4,0.3,14590,312,1.25,241,18
金仙,后期,大Boss,10.2,0.52,23253,312,1.15,306,40
太乙,初期,普通怪,3.2,0.12,6089,229,1.4,141,0
太乙,初期,小Boss,6.4,0.3,12178,262,1.28,193,20
太乙,初期,大Boss,10.2,0.52,19409,261,1.17,244,40
太乙,中期,普通怪,3.2,0.12,7814,293,1.38,183,0
太乙,中期,小Boss,6.4,0.3,15629,335,1.26,250,20
太乙,中期,大Boss,10.2,0.52,24908,334,1.15,317,42
太乙,后期,普通怪,3.2,0.12,9801,371,1.35,231,0
太乙,后期,小Boss,6.4,0.3,19601,424,1.24,315,20
太乙,后期,大Boss,10.2,0.52,31239,424,1.14,399,44
大罗,初期,普通怪,3.2,0.12,7814,310,1.38,183,0
大罗,初期,小Boss,6.4,0.3,15629,355,1.26,250,22
大罗,初期,大Boss,10.2,0.52,24908,353,1.16,317,44
大罗,中期,普通怪,3.2,0.12,10149,398,1.36,240,0
大罗,中期,小Boss,6.4,0.3,20298,455,1.24,327,22
大罗,中期,大Boss,10.2,0.52,32349,454,1.14,414,46
大罗,后期,普通怪,3.2,0.12,12850,506,1.34,304,0
大罗,后期,小Boss,6.4,0.3,25700,578,1.22,415,22
大罗,后期,大Boss,10.2,0.52,40960,578,1.13,526,48
道祖,初期,普通怪,3.2,0.12,10367,422,1.36,240,0
道祖,初期,小Boss,6.4,0.3,20734,483,1.25,327,24
道祖,初期,大Boss,10.2,0.52,33045,480,1.14,414,48
道祖,中期,普通怪,3.2,0.12,13614,543,1.34,316,0
道祖,中期,小Boss,6.4,0.3,27228,621,1.23,431,24
道祖,中期,大Boss,10.2,0.52,43394,620,1.13,546,50
道祖,后期,普通怪,3.2,0.12,17340,691,1.32,403,0
道祖,后期,小Boss,6.4,0.3,34679,790,1.21,549,24
道祖,后期,大Boss,10.2,0.52,55270,790,1.11,696,52
